"juos","wgs84_x","wgs84_y"
1,-108.827734,40.181887
1,-108.769022,40.180771
1,-108.475608,40.174737
0,-107.760246,40.169348
0,-108.065011,40.165003
0,-111.00072,40.157201
1,-110.70717,40.156831
0,-110.002723,40.152907
0,-109.650564,40.149338
0,-109.474509,40.147152
1,-110.578018,40.138432
0,-109.239801,40.143821
1,-108.218623,40.14164
1,-110.390395,40.128569
0,-110.202619,40.127428
1,-108.653252,40.133448
1,-108.535932,40.130953
0,-107.582609,40.128401
1,-108.067016,40.12007
0,-107.934262,40.120044
0,-107.817061,40.122957
0,-111.118064,40.112094
0,-110.883376,40.112085
1,-110.707093,40.111945
1,-110.355368,40.110378
0,-110.238028,40.109647
0,-109.768757,40.105609
0,-109.299596,40.09967
0,-109.1237,40.096954
1,-108.947905,40.09383
0,-108.889214,40.092921
1,-108.713407,40.08954
1,-108.654801,40.088402
0,-109.804422,40.078955
1,-108.420361,40.083392
1,-108.244659,40.079387
0,-107.639485,40.082185
0,-107.580898,40.083479
1,-107.873763,40.076523
0,-111.000672,40.067168
1,-110.766234,40.066824
1,-110.531876,40.066151
0,-110.121282,40.063773
0,-109.945419,40.062306
0,-109.47652,40.057087
0,-109.300716,40.054641
1,-108.093201,40.057622
0,-109.066347,40.050967
0,-108.949181,40.048953
0,-108.539189,40.040949
0,-109.957555,40.035387
1,-108.246473,40.034372
0,-107.754805,40.034376
0,-111.176505,40.021923
0,-110.707748,40.021689
1,-110.415629,40.020206
1,-110.355971,40.020277
1,-110.239032,40.019559
0,-110.063277,40.018271
0,-109.594658,40.013534
0,-109.477522,40.012053
0,-109.243275,40.008738
1,-108.89154,40.0034
0,-109.8644,39.998473
0,-109.747277,39.997266
1,-108.716412,39.999562
0,-108.599337,39.99719
1,-108.482322,39.994737
1,-108.423857,39.993397
1,-108.189831,39.987972
0,-107.869983,39.986475
0,-107.694483,39.990782
1,-110.883536,39.977102
1,-110.767068,39.976909
1,-110.356968,39.975252
0,-109.595581,39.968498
0,-109.361469,39.965424
0,-109.068886,39.960919
1,-109.010355,39.959921
1,-108.261958,39.944857
1,-108.191616,39.942975
0,-108.074689,39.940036
1,-110.8254,39.93189
0,-110.708296,39.931718
1,-110.649748,39.931051
1,-110.532505,39.931323
1,-110.298645,39.92999
1,-110.181506,39.929447
0,-109.888993,39.926634
0,-109.830491,39.926059
0,-109.713492,39.924819
0,-109.479518,39.921986
0,-107.832313,39.924428
1,-108.894727,39.912909
1,-108.660941,39.908419
1,-108.427035,39.903402
0,-107.924638,39.895092
0,-107.807842,39.897946
0,-110.942018,39.886858
0,-107.983127,39.893556
1,-110.298971,39.884393
0,-110.006653,39.882653
0,-109.831257,39.881018
0,-109.538965,39.877703
1,-109.363376,39.875556
1,-109.188192,39.872753
1,-109.012984,39.869849
1,-108.720862,39.864543
1,-109.223869,39.85543
1,-108.428186,39.858862
1,-108.370615,39.857084
0,-107.630857,39.857059
0,-110.825373,39.841673
0,-110.65016,39.841259
1,-110.475104,39.840833
1,-110.416753,39.840221
0,-110.124163,39.838551
0,-109.948874,39.837094
1,-108.850237,39.839895
0,-109.715175,39.834741
1,-109.072876,39.825732
1,-108.605654,39.817083
1,-108.255513,39.809383
1,-108.13878,39.806561
0,-107.86254,39.806545
0,-107.687409,39.810666
0,-111.175838,39.796757
0,-110.942317,39.796794
0,-110.708708,39.796442
0,-110.591885,39.79609
1,-110.533486,39.795915
1,-110.066342,39.793049
1,-109.482495,39.786882
1,-109.424099,39.786076
1,-108.454911,39.786942
1,-109.248689,39.78348
0,-110.743814,39.769504
1,-108.840541,39.776705
1,-108.723778,39.774455
1,-108.373927,39.767102
1,-108.257279,39.764374
0,-108.140659,39.761513
0,-107.802314,39.762994
0,-107.569073,39.768377
1,-107.977174,39.758599
0,-111.292549,39.75139
0,-110.417094,39.750292
1,-110.30033,39.74962
1,-110.241959,39.749424
0,-109.71685,39.744661
0,-109.658505,39.744001
1,-109.483469,39.741981
1,-109.250153,39.73859
1,-109.133704,39.737174
1,-109.016906,39.734706
1,-108.958614,39.733768
0,-108.725329,39.729467
0,-108.608702,39.727102
0,-107.509101,39.724574
1,-110.942405,39.706755
1,-110.884067,39.706648
0,-110.534117,39.70577
1,-110.300749,39.704716
1,-110.125762,39.704042
0,-108.457847,39.705893
1,-109.950916,39.701989
1,-109.892415,39.7015
1,-109.367981,39.695249
1,-110.685852,39.688242
1,-108.901609,39.687741
1,-109.041782,39.68118
1,-108.785083,39.685577
1,-107.565798,39.678255
0,-108.31901,39.675742
0,-108.202602,39.672977
0,-107.856899,39.671579
1,-107.798667,39.672899
0,-111.175275,39.661361
1,-111.059011,39.66164
0,-111.000721,39.661655
1,-110.884061,39.661597
1,-110.592529,39.661019
0,-107.483529,39.662144
1,-109.95161,39.656918
1,-109.893341,39.656674
1,-109.776719,39.655179
1,-109.660249,39.653921
1,-109.310681,39.649363
1,-109.194563,39.648049
0,-108.728259,39.639469
0,-108.553625,39.635882
0,-108.006067,39.641039
1,-107.796785,39.627975
0,-108.088076,39.6251
0,-107.971413,39.623661
0,-111.058973,39.616588
1,-110.593284,39.615754
1,-110.418112,39.61508
0,-110.301774,39.61452
0,-110.24352,39.614083
1,-110.069421,39.612898
1,-109.777582,39.610165
1,-109.660725,39.608723
1,-109.544693,39.607119
1,-109.428181,39.605926
0,-109.078957,39.600706
0,-108.438863,39.588362
0,-108.322507,39.585756
1,-107.620563,39.58707
0,-108.148062,39.581584
0,-108.08989,39.58014
0,-107.678679,39.585681
0,-111.175503,39.571374
1,-110.942612,39.571501
0,-110.82608,39.57142
1,-107.36401,39.574458
0,-110.185375,39.568485
1,-109.836106,39.565643
1,-109.428807,39.560209
1,-109.196424,39.558017
1,-108.963847,39.553717
1,-109.918294,39.548417
1,-108.789435,39.550457
1,-108.731285,39.549318
0,-108.615001,39.547078
0,-108.498509,39.544753
1,-107.851384,39.536525
1,-107.455729,39.536554
1,-111.000769,39.526417
1,-110.651123,39.525612
1,-110.419015,39.525025
1,-110.3608,39.524666
1,-109.779186,39.520133
1,-109.197724,39.513646
1,-109.14022,39.511309
1,-108.848922,39.506527
1,-109.581805,39.499736
1,-109.523679,39.499093
1,-108.442149,39.498355
1,-108.325958,39.495667
1,-107.733352,39.494392
1,-107.559013,39.498307
0,-107.384833,39.502022
1,-109.337862,39.487577
0,-108.151689,39.49185
1,-107.90755,39.490153
0,-111.291379,39.481044
0,-111.175126,39.481368
0,-110.942583,39.481431
0,-110.651893,39.480922
0,-110.593758,39.480733
1,-109.779951,39.475035
1,-109.431579,39.471236
1,-109.024565,39.464633
0,-108.559874,39.455824
0,-108.095535,39.445119
1,-107.847686,39.446566
0,-111.175349,39.435935
0,-110.768318,39.43616
1,-108.944107,39.436219
1,-110.41945,39.435192
1,-110.303466,39.433924
1,-110.129171,39.433117
0,-110.013082,39.432197
0,-109.896907,39.431152
1,-109.780738,39.429937
1,-108.885952,39.435176
1,-107.742618,39.43103
1,-109.54872,39.426841
1,-109.200008,39.422459
1,-108.735601,39.41428
1,-108.677574,39.413226
1,-111.035535,39.409327
1,-109.096017,39.402775
0,-108.445585,39.408278
1,-108.329525,39.405778
0,-107.555767,39.408333
0,-107.497724,39.409666
0,-108.155413,39.401593
1,-108.039393,39.39875
